39777	Wasser
19954	Wein
16593	Geld
16421	Kaffee
16273	Bier
13706	Zucker
9753	Milch
8248	Butter
7593	Mehl
7582	Salz
6919	Öl
6697	Tee
6673	Fleisch
6517	Brot
5855	Holz
5524	Diesel
5149	Erde
4594	Schokolade
4491	Blut
4477	Gold
4041	Schnee
4012	Strom
3504	Fett
3491	Benzin
3294	Alkohol
3141	Luft
3132	Kohle
3061	Reis
2794	Stoff
2407	Honig
2311	Flüssigkeit
2114	Energie
2101	Sand
1938	Obst
1854	Käse
1816	Regen
1790	Silber
1695	Eis
1648	Stahl
1638	Futter
1627	Müll
1468	Gepäck
1377	Fisch
1340	Eiweiss
1320	Getreide
1253	Trinkwasser
1240	Farbe
1216	Gas
1203	Draht
1105	Eisen
1049	Saft
1003	Gemüse
966	Beton
938	Schlaf
909	Dreck
887	Mais
877	Metall
809	Wurst
760	Staub
754	Wäsche
684	Asche
676	Scheisse
672	Plastik
668	Schrott
666	Abfall
661	Suppe
638	Sauerstoff
634	Creme
518	Haut
515	Teig
503	Aluminium
471	Gehalt
466	Gras
404	Zeug
401	Rasen
399	Nahrung
375	Lohn
372	Salat
366	Leder
365	Glas
358	Lack
335	Pfeffer
331	Senf
257	Materie
251	Vermögen
230	Kunststoff
227	Gift
219	Fell
172	Freizeit
137	Spielzeug
126	Sonnenschein
115	Kram
107	Kleidung
30	rege
22	Medizin
21	Mode
4	Inhaltsstoff
1	Nährstoff
